"Site ID","Site Name",Province,Munciple,Locality,"Latitude ","Longitude ","Site Code",Vendor,"Responsible Area",Priority,"Priority Comment","Element Type",Model,MSC,MGW,BSC,RNC,Phase,"Service Date",Stage,"Sub Stage","Start Date",End_Date,"Created Date"
641,"Mbonde Vale",Luanda,Belas,"Futungo de Belas",-8.914333,13.214139,BL178,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
642,"Memorial Agostinho Neto",Luanda,Luanda,Maianga,-8.824194,13.219015,LD179,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
644,"Mercado Salale",Luanda,Cazenga,Cazenga,-8.88499,13.32772,CZ180,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
646,"Metro Mall",Luanda,Belas,"Kilamba Kiaxi",-8.8622,13.26261,BL181,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:37:59"
650,Miramar,Luanda,Luanda,,-8.81164,13.2465,LD182,,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:00"
652,Moagem,Luanda,Viana,Viana,-8.87386,13.3319,VA183,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:00"
655,Monumento,Luanda,Luanda,Maianga,-8.8245,13.221361,LD184,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
656,Morabeza,Luanda,Belas,"Futungo de Belas",-8.92584,13.1973,BL185,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
658,"Morro Bento",Luanda,Belas,"Futungo de Belas",-8.89917,13.1869,BL186,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
659,"Morro Bento 1",Luanda,Belas,"Futungo de Belas",-8.897798,13.195196,BL187,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
660,"Morro da Cruz",Luanda,Belas,"Benfica e Mussulo",-8.96447,13.1048,BL188,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
661,"Morro da Luz",Luanda,Luanda,"Rocha Pinto",-8.868061,13.208599,BL189,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
662,MSTelecom,Luanda,Cacuaco,Cacuaco,-8.772368,13.29963,CA190,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:38:01"
668,"Mulenvo Maulo",Luanda,Cazenga,Sambizanga,-8.861972,13.335528,CZ191,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
669,"Mulenvos 4 Imbondeiro",Luanda,Viana,Viana,-8.84934,13.32887,VA385,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
670,"Mulenvos 500 Casas",Luanda,Viana,Viana,-8.8345,13.332166,VA192,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
671,"Mulenvos Bananeira",Luanda,Cazenga,Sambizanga,-8.84389,13.321314,CZ193,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
672,"Mulenvos Malueca",Luanda,Cazenga,Sambizanga,-8.82963,13.33748,CZ194,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
673,"Mulenvos Sul",Luanda,Viana,Viana,-8.991139,13.3574,VA195,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
675,"Mulundo Brigada",Luanda,Cacuaco,Funda,-8.82114,13.49207,CA386,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:46"
681,"Mussende Kicuxi",Luanda,Viana,Zango,-8.957583,13.383944,VA196,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:47"
683,Mussulo,Luanda,Belas,"Benfica e Mussulo",-8.90738,13.11118,BL197,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:47"
684,"Mussulo 3",Luanda,Belas,"Benfica e Mussulo",-8.88032,13.133367,BL199,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:47"
685,"Mussulo Administracao",Luanda,Belas,"Benfica e Mussulo",-8.88772,13.13305,BL200,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:47"
686,Mussulo_2,Luanda,Belas,"Benfica e Mussulo",-8.94512,13.07298,BL198,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:48"
687,Mutões,Luanda,"Icolo e Bengo","Bom Jesus",-8.98612,13.49614,VA201,ERICSSON,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:48"
688,Muxima,Luanda,,Muxima,-9.520556,13.956389,126,ZTE,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:48"
689,"Muxima Katondo",Luanda,,Muxima,-9.51625,13.95119,530,ZTE,DO.NOC,,,,,,,,,,2020-03-03,,,2020-03-03,1970-01-01,"2020-03-04 00:50:48"
